year,era_year,species,species_ja,region,category,category_code,site_note,survey_sites,trees_surveyed,n_sites_houasaku,n_sites_namisaku,n_sites_fusaku,n_sites_kyousaku,n_sites_unresolved,count_method,survey_timing,source_file,source_url,publish_date,publish_date_basis,method,note
2023,R5,konara,コナラ,east,並作,3,凶作、不作、並作がばらつく (brace covers east and west),,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r5houkyoutyousa_rev.pdf,https://www.pref.toyama.jp/documents/21689/r5houkyoutyousa_rev.pdf,2023-09-06,"inferred: R4 file re-uploaded with PDF CreationDate 2023-09-06 when R5 was posted; Chubu Forest Office page of 2023-09-08 links it; file on disk is the revised copy (CreationDate 2024-09-05, maps removed per its PDF title)",pdftotext -layout text layer,
2023,R5,konara,コナラ,west,不作,2,凶作、不作、並作がばらつく (brace covers east and west),,,,,,,,,ブナ 8月、ナラ 8月中下旬,data-pipeline/raw/research/toyama/r5houkyoutyousa_rev.pdf,https://www.pref.toyama.jp/documents/21689/r5houkyoutyousa_rev.pdf,2023-09-06,"inferred: R4 file re-uploaded with PDF CreationDate 2023-09-06 when R5 was posted; Chubu Forest Office page of 2023-09-08 links it; file on disk is the revised copy (CreationDate 2024-09-05, maps removed per its PDF title)",pdftotext -layout text layer,
2024,R6,buna,ブナ,prefecture,不作,2,,15,,0,3,5,7,0,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r6houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r6houkyou.pdf,2024-09-05,page 更新日 2024年9月5日 (Wayback snapshot 2024-09-06); PDF CreationDate 2024-09-05,pdftotext -layout text layer,
2024,R6,buna,ブナ,east,不作,2,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r6houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r6houkyou.pdf,2024-09-05,page 更新日 2024年9月5日 (Wayback snapshot 2024-09-06); PDF CreationDate 2024-09-05,pdftotext -layout text layer,
2024,R6,buna,ブナ,west,不作,2,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r6houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r6houkyou.pdf,2024-09-05,page 更新日 2024年9月5日 (Wayback snapshot 2024-09-06); PDF CreationDate 2024-09-05,pdftotext -layout text layer,
2024,R6,mizunara,ミズナラ,prefecture,並作,3,,16,,1,11,4,0,0,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r6houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r6houkyou.pdf,2024-09-05,page 更新日 2024年9月5日 (Wayback snapshot 2024-09-06); PDF CreationDate 2024-09-05,pdftotext -layout text layer,
2024,R6,mizunara,ミズナラ,east,並作,3,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r6houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r6houkyou.pdf,2024-09-05,page 更新日 2024年9月5日 (Wayback snapshot 2024-09-06); PDF CreationDate 2024-09-05,pdftotext -layout text layer,
2024,R6,mizunara,ミズナラ,west,並作,3,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r6houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r6houkyou.pdf,2024-09-05,page 更新日 2024年9月5日 (Wayback snapshot 2024-09-06); PDF CreationDate 2024-09-05,pdftotext -layout text layer,
2024,R6,konara,コナラ,prefecture,並作,3,,11,,0,7,3,1,0,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r6houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r6houkyou.pdf,2024-09-05,page 更新日 2024年9月5日 (Wayback snapshot 2024-09-06); PDF CreationDate 2024-09-05,pdftotext -layout text layer,
2024,R6,konara,コナラ,east,並作,3,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r6houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r6houkyou.pdf,2024-09-05,page 更新日 2024年9月5日 (Wayback snapshot 2024-09-06); PDF CreationDate 2024-09-05,pdftotext -layout text layer,
2024,R6,konara,コナラ,west,並作,3,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r6houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r6houkyou.pdf,2024-09-05,page 更新日 2024年9月5日 (Wayback snapshot 2024-09-06); PDF CreationDate 2024-09-05,pdftotext -layout text layer,
2025,R7,buna,ブナ,prefecture,凶作,1,全箇所で凶作,15,,0,0,0,15,0,text: ブナは全箇所で凶作; map shows 15 ×,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r7houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r7houkyou.pdf,2025-09-04,page 更新日 2025年9月4日 (Wayback snapshot 2026-02-13); PDF CreationDate 2025-09-02,pdftotext -layout text layer,
2025,R7,buna,ブナ,east,凶作,1,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r7houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r7houkyou.pdf,2025-09-04,page 更新日 2025年9月4日 (Wayback snapshot 2026-02-13); PDF CreationDate 2025-09-02,pdftotext -layout text layer,
2025,R7,buna,ブナ,west,凶作,1,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r7houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r7houkyou.pdf,2025-09-04,page 更新日 2025年9月4日 (Wayback snapshot 2026-02-13); PDF CreationDate 2025-09-02,pdftotext -layout text layer,
2025,R7,mizunara,ミズナラ,prefecture,不作,2,ほとんどの箇所で凶作または不作（凶作３、不作11）,16,,0,2,11,3,0,"text gives 凶作3, 不作11; remaining 2 read as 並作 from the map (医王山, 西赤尾)",ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r7houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r7houkyou.pdf,2025-09-04,page 更新日 2025年9月4日 (Wayback snapshot 2026-02-13); PDF CreationDate 2025-09-02,pdftotext -layout text layer,
2025,R7,mizunara,ミズナラ,east,不作,2,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r7houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r7houkyou.pdf,2025-09-04,page 更新日 2025年9月4日 (Wayback snapshot 2026-02-13); PDF CreationDate 2025-09-02,pdftotext -layout text layer,
2025,R7,mizunara,ミズナラ,west,不作,2,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r7houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r7houkyou.pdf,2025-09-04,page 更新日 2025年9月4日 (Wayback snapshot 2026-02-13); PDF CreationDate 2025-09-02,pdftotext -layout text layer,
2025,R7,konara,コナラ,prefecture,不作,2,,11,,0,2,8,1,0,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r7houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r7houkyou.pdf,2025-09-04,page 更新日 2025年9月4日 (Wayback snapshot 2026-02-13); PDF CreationDate 2025-09-02,pdftotext -layout text layer,
2025,R7,konara,コナラ,east,不作,2,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r7houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r7houkyou.pdf,2025-09-04,page 更新日 2025年9月4日 (Wayback snapshot 2026-02-13); PDF CreationDate 2025-09-02,pdftotext -layout text layer,
2025,R7,konara,コナラ,west,不作,2,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r7houkyou.pdf,https://www.pref.toyama.jp/documents/21689/r7houkyou.pdf,2025-09-04,page 更新日 2025年9月4日 (Wayback snapshot 2026-02-13); PDF CreationDate 2025-09-02,pdftotext -layout text layer,
2026,R8,buna,ブナ,prefecture,豊作,4,,15,,11,3,1,0,0,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r8houkyou1.pdf,https://www.pref.toyama.jp/documents/21689/r8houkyou1.pdf,2026-09-04,"page 更新日 2026年9月4日 (live page, copy raw/research/mast/toyama-page.html); PDF CreationDate 2026-09-02",pdftotext -layout text layer,"report also says Apr-Aug 2026 bear sightings/outings were 261, above normal"
2026,R8,buna,ブナ,east,豊作,4,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r8houkyou1.pdf,https://www.pref.toyama.jp/documents/21689/r8houkyou1.pdf,2026-09-04,"page 更新日 2026年9月4日 (live page, copy raw/research/mast/toyama-page.html); PDF CreationDate 2026-09-02",pdftotext -layout text layer,
2026,R8,buna,ブナ,west,豊作,4,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r8houkyou1.pdf,https://www.pref.toyama.jp/documents/21689/r8houkyou1.pdf,2026-09-04,"page 更新日 2026年9月4日 (live page, copy raw/research/mast/toyama-page.html); PDF CreationDate 2026-09-02",pdftotext -layout text layer,
2026,R8,mizunara,ミズナラ,prefecture,並作,3,,16,,0,10,6,0,0,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r8houkyou1.pdf,https://www.pref.toyama.jp/documents/21689/r8houkyou1.pdf,2026-09-04,"page 更新日 2026年9月4日 (live page, copy raw/research/mast/toyama-page.html); PDF CreationDate 2026-09-02",pdftotext -layout text layer,
2026,R8,mizunara,ミズナラ,east,並作,3,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r8houkyou1.pdf,https://www.pref.toyama.jp/documents/21689/r8houkyou1.pdf,2026-09-04,"page 更新日 2026年9月4日 (live page, copy raw/research/mast/toyama-page.html); PDF CreationDate 2026-09-02",pdftotext -layout text layer,
2026,R8,mizunara,ミズナラ,west,並作,3,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r8houkyou1.pdf,https://www.pref.toyama.jp/documents/21689/r8houkyou1.pdf,2026-09-04,"page 更新日 2026年9月4日 (live page, copy raw/research/mast/toyama-page.html); PDF CreationDate 2026-09-02",pdftotext -layout text layer,
2026,R8,konara,コナラ,prefecture,並作,3,,11,,0,10,1,0,0,"site-category symbols on the map figure read visually from the rendered page (pdftoppm 300-600 dpi, Read tool)",ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r8houkyou1.pdf,https://www.pref.toyama.jp/documents/21689/r8houkyou1.pdf,2026-09-04,"page 更新日 2026年9月4日 (live page, copy raw/research/mast/toyama-page.html); PDF CreationDate 2026-09-02",pdftotext -layout text layer,
2026,R8,konara,コナラ,east,並作,3,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r8houkyou1.pdf,https://www.pref.toyama.jp/documents/21689/r8houkyou1.pdf,2026-09-04,"page 更新日 2026年9月4日 (live page, copy raw/research/mast/toyama-page.html); PDF CreationDate 2026-09-02",pdftotext -layout text layer,
2026,R8,konara,コナラ,west,並作,3,,,,,,,,,,ブナ７月下旬～８月、ナラ類８月中下旬,data-pipeline/raw/research/toyama/r8houkyou1.pdf,https://www.pref.toyama.jp/documents/21689/r8houkyou1.pdf,2026-09-04,"page 更新日 2026年9月4日 (live page, copy raw/research/mast/toyama-page.html); PDF CreationDate 2026-09-02",pdftotext -layout text layer,
